""," ","Lag=1","Lag=2","Lag=3","Lag=4","Lag=5","Lag=6","Lag=7","Lag=8","Lag=9","Lag=10","Lag=11","Lag=12","Lag=13","Lag=14","Lag=15","Lag=16","Lag=17","Lag=18","Lag=19","Lag=20"
"1","kappa=0.01","0.995 ( 0 )","0.989 ( 0.01 )","0.984 ( 0.01 )","0.979 ( 0.01 )","0.974 ( 0.01 )","0.969 ( 0.02 )","0.964 ( 0.02 )","0.96 ( 0.02 )","0.955 ( 0.02 )","0.95 ( 0.02 )","0.945 ( 0.03 )","0.941 ( 0.03 )","0.936 ( 0.03 )","0.932 ( 0.03 )","0.927 ( 0.03 )","0.923 ( 0.04 )","0.918 ( 0.04 )","0.914 ( 0.04 )","0.909 ( 0.04 )","0.905 ( 0.04 )"
"2","kappa=1","0.731 ( 0.02 )","0.538 ( 0.03 )","0.395 ( 0.04 )","0.292 ( 0.04 )","0.214 ( 0.04 )","0.158 ( 0.03 )","0.115 ( 0.03 )","0.081 ( 0.03 )","0.059 ( 0.03 )","0.042 ( 0.03 )","0.033 ( 0.03 )","0.028 ( 0.03 )","0.024 ( 0.02 )","0.021 ( 0.02 )","0.019 ( 0.02 )","0.017 ( 0.02 )","0.016 ( 0.02 )","0.014 ( 0.02 )","0.014 ( 0.02 )","0.011 ( 0.02 )"
"3","kappa=5","-0.001 ( 0.02 )","-0.005 ( 0.01 )","-0.001 ( 0.01 )","0.001 ( 0.02 )","-0.006 ( 0.01 )","0.003 ( 0.02 )","0 ( 0.02 )","-0.001 ( 0.01 )","-0.003 ( 0.01 )","-0.001 ( 0.01 )","-0.004 ( 0.01 )","-0.003 ( 0.02 )","0.005 ( 0.02 )","0.005 ( 0.01 )","-0.004 ( 0.01 )","0.002 ( 0.01 )","0.001 ( 0.01 )","0 ( 0.01 )","-0.005 ( 0.01 )","0.002 ( 0.01 )"
"4","kappa=10","0.001 ( 0.02 )","-0.002 ( 0.02 )","-0.002 ( 0.02 )","-0.001 ( 0.01 )","-0.002 ( 0.02 )","0.006 ( 0.02 )","0.001 ( 0.01 )","-0.004 ( 0.01 )","0 ( 0.01 )","0 ( 0.01 )","0 ( 0.02 )","-0.002 ( 0.01 )","0.001 ( 0.02 )","0.003 ( 0.02 )","0.004 ( 0.01 )","0.004 ( 0.01 )","0.005 ( 0.02 )","0.001 ( 0.01 )","-0.001 ( 0.02 )","0.002 ( 0.02 )"
"5","kappa=15","0.007 ( 0.01 )","0.002 ( 0.01 )","-0.003 ( 0.01 )","0.003 ( 0.01 )","-0.002 ( 0.01 )","0.001 ( 0.01 )","0.001 ( 0.01 )","0.003 ( 0.01 )","0.006 ( 0.01 )","0.007 ( 0.01 )","-0.001 ( 0.01 )","-0.001 ( 0.01 )","-0.003 ( 0.01 )","0.006 ( 0.02 )","0.006 ( 0.02 )","-0.003 ( 0.01 )","-0.004 ( 0.01 )","0.002 ( 0.01 )","-0.002 ( 0.01 )","0.002 ( 0.02 )"
